iter	Passed	Remaining
401	19539	101974
402	19589	101933
403	19635	101872
404	19697	101890
405	19741	101821
406	19790	101772
407	19839	101727
408	19888	101677
409	19936	101627
410	19987	101591
411	20037	101547
412	20086	101504
413	20134	101450
414	20182	101399
415	20233	101362
416	20289	101349
417	20335	101286
418	20384	101242
419	20434	101199
420	20484	101158
421	20532	101104
422	20579	101049
423	20628	101001
424	20678	100957
425	20726	100909
426	20778	100873
427	20825	100817
428	20873	100765
429	20922	100719
430	20971	100673
431	21018	100617
432	21068	100572
433	21117	100524
434	21167	100484
435	21217	100440
436	21268	100405
437	21316	100354
438	21362	100293
439	21409	100233
440	21462	100208
441	21518	100193
442	21568	100149
443	21614	100087
444	21663	100040
445	21710	99986
446	21758	99934
447	21807	99886
448	21852	99821
449	21901	99775
450	21951	99729
451	22001	99689
452	22050	99639
453	22100	99599
454	22148	99547
455	22197	99500
456	22249	99463
457	22300	99428
458	22352	99391
459	22402	99348
460	22449	99295
461	22498	99246
462	22544	99185
463	22591	99130
464	22638	99072
465	22684	99014
466	22731	98959
467	22780	98908
468	22827	98855
469	22877	98809
470	22923	98752
471	22971	98701
472	23020	98653
473	23066	98594
474	23115	98544
475	23164	98499
476	23214	98453
477	23263	98406
478	23312	98358
479	23359	98303
480	23406	98250
481	23455	98201
482	23503	98148
483	23551	98099
484	23601	98054
485	23648	98001
486	23697	97952
487	23743	97891
488	23789	97833
489	23837	97782
490	23887	97738
491	23935	97686
492	23983	97635
493	24031	97584
494	24079	97535
495	24128	97488
496	24180	97451
497	24228	97401
498	24281	97368
499	24329	97317
500	24377	97265
501	24426	97218
502	24473	97163
503	24522	97116
504	24571	97069
505	24620	97021
506	24670	96977
507	24716	96921
508	24767	96880
509	24815	96828
510	24862	96772
511	24911	96727
512	24960	96677
513	25006	96621
514	25056	96577
515	25103	96522
516	25152	96473
517	25201	96428
518	25253	96393
519	25303	96349
520	25350	96294
521	25399	96246
522	25448	96199
523	25495	96143
524	25543	96093
525	25590	96038
526	25640	95993
527	25686	95935
528	25735	95889
529	25781	95830
530	25831	95784
531	25880	95736
532	25929	95689
533	25977	95638
534	26025	95587
535	26072	95533
536	26121	95486
537	26169	95436
538	26220	95395
539	26272	95357
540	26319	95305
541	26367	95252
542	26414	95200
543	26461	95145
544	26510	95098
545	26557	95043
546	26607	94999
547	26652	94936
548	26703	94897
549	26750	94842
550	26798	94790
551	26845	94738
552	26894	94688
553	26941	94635
554	26988	94580
555	27044	94560
556	27090	94502
557	27140	94456
558	27189	94409
559	27241	94371
560	27291	94327
561	27339	94276
562	27390	94237
563	27436	94177
564	27485	94130
565	27531	94073
566	27579	94022
567	27626	93970
568	27674	93919
569	27722	93867
570	27770	93817
571	27819	93768
572	27869	93723
573	27916	93672
574	27966	93626
575	28013	93571
576	28062	93526
577	28111	93478
578	28162	93436
579	28212	93394
580	28267	93366
581	28315	93315
582	28364	93267
583	28414	93222
584	28459	93163
585	28506	93107
586	28555	93059
587	28602	93007
588	28651	92958
589	28700	92910
590	28749	92863
